Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,231,United States of America,195,Senegal,5910,Export Quantity,15,Wheat,tonnes,10445.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,207,Suriname,5910,Export Quantity,15,Wheat,tonnes,9719.59,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,67,Finland,5910,Export Quantity,15,Wheat,tonnes,9017.57,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,20,Botswana,5910,Export Quantity,15,Wheat,tonnes,9014.57,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,133,Mali,5910,Export Quantity,15,Wheat,tonnes,8096.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,84,Greece,5910,Export Quantity,15,Wheat,tonnes,7169.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,122,Lesotho,5910,Export Quantity,15,Wheat,tonnes,6852.4,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,251,Zambia,5910,Export Quantity,15,Wheat,tonnes,6359.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,75,Gambia,5910,Export Quantity,15,Wheat,tonnes,6300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,209,Eswatini,5910,Export Quantity,15,Wheat,tonnes,6216.4,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,79,Germany,5910,Export Quantity,15,Wheat,tonnes,6101.42,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,29,Burundi,5910,Export Quantity,15,Wheat,tonnes,6059.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,234,Uruguay,5910,Export Quantity,15,Wheat,tonnes,5839,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,210,Sweden,5910,Export Quantity,15,Wheat,tonnes,5748.13,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,53,Benin,5910,Export Quantity,15,Wheat,tonnes,5697.38,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,184,Rwanda,5910,Export Quantity,15,Wheat,tonnes,5329.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,156,New Zealand,5910,Export Quantity,15,Wheat,tonnes,5252.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,68,France,5910,Export Quantity,15,Wheat,tonnes,5181,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,74,Gabon,5910,Export Quantity,15,Wheat,tonnes,5050.9,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,55,Dominica,5910,Export Quantity,15,Wheat,tonnes,4979.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,233,Burkina Faso,5910,Export Quantity,15,Wheat,tonnes,4256.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,201,Somalia,5910,Export Quantity,15,Wheat,tonnes,4118.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,37,Central African Republic,5910,Export Quantity,15,Wheat,tonnes,3910.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,35,Cabo Verde,5910,Export Quantity,15,Wheat,tonnes,3879.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,99,Iceland,5910,Export Quantity,15,Wheat,tonnes,3366.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,168,Papua New Guinea,5910,Export Quantity,15,Wheat,tonnes,3141.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,179,Qatar,5910,Export Quantity,15,Wheat,tonnes,2244,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,115,Cambodia,5910,Export Quantity,15,Wheat,tonnes,2030.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,87,Guadeloupe,5910,Export Quantity,15,Wheat,tonnes,2000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,9,Argentina,5910,Export Quantity,15,Wheat,tonnes,1935.83,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,158,Niger,5910,Export Quantity,15,Wheat,tonnes,1867.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,189,Saint Lucia,5910,Export Quantity,15,Wheat,tonnes,1864.38,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,10,Australia,5910,Export Quantity,15,Wheat,tonnes,1126.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,18,Bhutan,5910,Export Quantity,15,Wheat,tonnes,903,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,153,New Caledonia,5910,Export Quantity,15,Wheat,tonnes,892.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,11,Austria,5910,Export Quantity,15,Wheat,tonnes,177,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,70,French Polynesia,5910,Export Quantity,15,Wheat,tonnes,116,A,"Aggregate, may include official, semi-official, estimated or calculated data"
